"listener"	"artist_name"	"album_name"	"song_name"	"artist_popularity"	"album_popularity"	"song_popularity"	"acousticness"	"danceability"	"energy"	"instrumentalness"	"liveness"	"loudness"	"speechiness"	"tempo"	"valence"
"37"	40	"Justin Timberlake"	"Justified"	"Señorita"	83	72	67	0.0729	0.841	0.629	0	0.0742	-5.351	0.0442	97.963	0.87
"38"	36	"Tom Walker"	"Not Giving In"	"Not Giving In"	80	54	63	0.632	0.471	0.724	0	0.109	-7.174	0.0873	159.961	0.485
"39"	36	"No Doubt"	"The Singles Collection"	"It's My Life"	71	46	48	0.00264	0.606	0.75	0.000788	0.321	-4.535	0.0306	126.316	0.771
"40"	38	"Vampire Weekend"	"Father of the Bride"	"This Life"	81	80	72	0.228	0.62	0.712	3.39e-06	0.0561	-6.434	0.1	170.234	0.83
"41"	38	"Dua Lipa"	"Dua Lipa (Deluxe)"	"IDGAF"	89	82	84	0.0403	0.836	0.544	0	0.0824	-5.975	0.0943	97.028	0.51
"42"	38	"The Strumbellas"	"Rattlesnake"	"Salvation"	64	57	61	0.00599	0.609	0.861	0	0.0924	-5.26	0.0927	139.914	0.53
"43"	38	"En Vogue"	"Funky Divas"	"Free Your Mind"	61	53	51	0.0894	0.765	0.831	0	0.393	-6.522	0.0565	100.026	0.809
"44"	37	"The Rolling Stones"	"Bridges To Bremen (Live)"	"Anybody Seen My Baby? - Live"	83	0	32	0.248	0.482	0.843	0.000103	0.69	-5.762	0.0772	112.06	0.429
"45"	37	"Jamiroquai"	"A funk odyssey"	"Love Foolosophy (with Beverley Knight) - Radio Edit"	71	61	56	0.0119	0.799	0.69	2.87e-05	0.133	-4.998	0.0749	129.297	0.896
"46"	38	"Switchfoot"	"NATIVE TONGUE"	"NATIVE TONGUE"	65	56	55	0.00434	0.586	0.895	0	0.37	-5.223	0.117	127.998	0.312
"47"	36	"Joey Tempest"	"The One In The Glass"	"The One In The Glass"	31	3	4	0.0182	0.781	0.729	0.0108	0.119	-7.217	0.0413	120.077	0.802
"48"	36	"Cheryl Lynn"	"Cheryl Lynn (Expanded Edition)"	"Got to Be Real"	55	53	60	0.0943	0.836	0.626	0.742	0.153	-10.143	0.0335	114.657	0.898
"49"	34	"Opus"	"Tonight At The Opera (Live)"	"Live Is Life"	53	35	42	0.0458	0.378	0.875	0	0.953	-7.123	0.254	95.915	0.636
"50"	32	"Shawn Mendes"	"If I Can't Have You"	"If I Can't Have You"	92	86	95	0.524	0.692	0.809	0	0.147	-4.198	0.0602	123.911	0.864
"51"	33	"Natalie Imbruglia"	"White Lilies Island"	"Wrong Impression"	66	39	45	0.00944	0.477	0.739	0	0.179	-5.606	0.0279	100.137	0.265
"52"	32	"Grace Carter"	"Heal Me"	"Heal Me"	65	52	61	0.109	0.504	0.448	2.45e-05	0.102	-6.581	0.0291	84.172	0.357
"53"	31	"Cher"	"Love Hurts"	"The Shoop Shoop Song (It's In His Kiss)"	74	54	61	0.467	0.678	0.61	0	0.397	-10.509	0.0306	117.04	0.919
"54"	34	"Of Monsters and Men"	"Alligator"	"Alligator"	74	59	67	0.000169	0.581	0.934	0.00297	0.0901	-5.511	0.0547	120.024	0.391
"55"	34	"Foster The People"	"Imagination"	"Style"	77	0	0	0.00633	0.59	0.906	0.00151	0.386	-2.892	0.0618	111.997	0.541
"56"	35	"Katy Perry"	"One Of The Boys"	"I Kissed A Girl"	86	65	69	0.00223	0.699	0.76	0	0.132	-3.173	0.0677	129.996	0.696
"57"	38	"Gavin James"	"Only Ticket Home"	"Glow"	75	62	49	0.0651	0.576	0.791	0	0.14	-4.862	0.0346	123.083	0.413
"58"	35	"Diana King"	"Tougher Than Love"	"Ain't Nobody"	49	48	26	0.00164	0.695	0.772	4.6e-05	0.0507	-5.351	0.0446	97.298	0.495
"59"	33	"Nelly Furtado"	"Feel So Close"	"Feel So Close"	74	33	40	0.749	0.651	0.391	1.43e-05	0.122	-9.187	0.0348	120.765	0.159
"60"	36	"Scott Bradlee's Postmodern Jukebox"	"Emoji Antique"	"Creep"	67	56	60	0.697	0.292	0.359	1.85e-05	0.108	-9.043	0.0328	177.334	0.228
"61"	35	"Alice Olivia"	"I See Fire"	"I See Fire"	21	19	27	0.882	0.39	0.341	0	0.182	-8.287	0.129	75.995	0.337
"62"	36	"Weezer"	"Weezer (Teal Album)"	"Take On Me"	77	67	61	0.00568	0.441	0.762	3.31e-05	0.0865	-3.857	0.0438	167.964	0.743
"63"	33	"Muse"	"Spotify Singles"	"Hungry Like The Wolf - Recorded Live At AIR Studios, London"	81	52	59	0.00111	0.51	0.963	0	0.743	-3.659	0.0422	129.035	0.732
"64"	38	"Tove Lo"	"Queen Of The Clouds"	"Talking Body"	80	68	66	0.0966	0.736	0.761	0	0.0823	-5.449	0.0338	119.999	0.114
"65"	36	"Robbie Williams"	"I Just Want People To Like Me"	"I Just Want People To Like Me"	75	33	41	0.011	0.532	0.829	0.0807	0.533	-5.1	0.0384	142.943	0.741
"66"	34	"Gorillaz"	"Demon Days"	"Feel Good Inc"	80	75	79	0.00836	0.818	0.705	0.00233	0.613	-6.679	0.177	138.559	0.772
"67"	34	"Dean Lewis"	"A Place We Knew"	"Stay Awake"	83	73	74	0.337	0.723	0.829	3.47e-05	0.0931	-7.123	0.0453	106.023	0.582
"68"	33	"Amy Winehouse"	"Back To Black"	"Tears Dry On Their Own"	79	76	71	0.491	0.643	0.871	0	0.29	-2.734	0.118	121.569	0.452
"69"	35	"X Ambassadors"	"ORION"	"HEY CHILD"	78	60	53	0.00499	0.697	0.661	2.77e-06	0.0773	-5.535	0.0453	112.016	0.546
"70"	33	"Pink Martini"	"Sympathique"	"Sympathique"	61	37	40	0.662	0.628	0.39	0	0.0989	-9.803	0.0423	129.911	0.797
"71"	32	"The Pointer Sisters"	"Fire! The Very Best of The Pointer Sisters"	"Jump (For My Love)"	67	56	62	0.107	0.86	0.705	8.87e-06	0.149	-12.514	0.0894	134.395	0.854
"72"	34	"Olly Murs"	"You Know I Know (Deluxe)"	"Excuses"	74	62	58	0.133	0.409	0.606	0	0.0856	-4.781	0.0565	134.834	0.502
"73"	31	"Taylor Swift"	"ME! (feat. Brendon Urie of Panic! At The Disco)"	"ME! (feat. Brendon Urie of Panic! At The Disco)"	92	76	84	0.0291	0.614	0.839	0	0.112	-4.143	0.0702	182.123	0.657
"74"	30	"Santana"	"Supernatural (Remastered)"	"Maria Maria (feat. The Product G&B) - Radio Mix"	73	68	68	0.0406	0.777	0.601	0.00201	0.0348	-5.931	0.126	97.911	0.68
"75"	34	"a-ha"	"Hunting High And Low"	"Take on Me"	74	74	82	0.018	0.573	0.902	0.00125	0.0928	-7.638	0.054	84.412	0.876
"76"	37	"Gwen Stefani"	"Love Angel Music Baby"	"Rich Girl"	75	63	59	0.0294	0.856	0.754	1.49e-05	0.206	-2.728	0.0416	98.018	0.722
"77"	35	"Ladies of Soul"	"Live at the Ziggodome 2016"	"Tribute & Donna Summer Medley (A Change Is Gonna Come / Fever / Georgia On My Mind / Unforgettable / This Will Be / Last Dance / Bad Girls / Hot Stuff)"	46	30	21	0.312	0.408	0.615	0	0.364	-8.354	0.0482	123.482	0.385
"78"	32	"Bruno Mars"	"Unorthodox Jukebox"	"Treasure"	90	79	74	0.0412	0.874	0.692	7.24e-05	0.324	-5.28	0.0431	116.017	0.937
"79"	36	"Barns Courtney"	"You And I"	"You And I"	69	54	62	0.00862	0.631	0.837	0	0.145	-4.917	0.0611	99.981	0.523
"80"	34	"Red Hot Chili Peppers"	"By The Way (Deluxe Version)"	"Can't Stop"	86	75	79	0.0179	0.618	0.938	0	0.167	-3.442	0.0456	91.455	0.875
"81"	32	"George Michael"	"Older"	"Spinning the Wheel"	75	58	48	0.103	0.682	0.444	3.93e-05	0.0982	-11.141	0.0692	150.282	0.434
"83"	29	"Bob Marley & The Wailers"	"Live At The Roxy - The Complete Concert"	"I Shot The Sheriff - Live At The Roxy"	83	56	59	0.522	0.726	0.789	0.000144	0.707	-5.257	0.12	139.598	0.757
"84"	27	"The Unlikely Candidates"	"Novocaine"	"Novocaine"	59	48	57	0.00191	0.652	0.833	0.000536	0.122	-4.898	0.0392	116.043	0.231
"85"	30	"Urge Overkill"	"Stull"	"Girl, You'll Be a Woman Soon"	52	54	62	0.0698	0.514	0.584	0.000183	0.205	-13.049	0.042	114.142	0.558
"86"	29	"Waldeck"	"Ballroom Stories"	"Make My Day"	56	52	48	0.62	0.782	0.787	0.00491	0.073	-5.955	0.161	94.237	0.601
"87"	29	"Catfish and the Bottlemen"	"Longshot"	"Longshot"	76	63	71	0.00381	0.481	0.765	0.000737	0.119	-4.025	0.0388	102.829	0.465
"88"	30	"Walking On Cars"	"Coldest Water"	"Coldest Water"	64	53	61	0.0926	0.525	0.781	0	0.279	-4.092	0.0393	101.963	0.469
"89"	31	"Hard-FI"	"Cash Machine [Re-Release]"	"Cash Machine - Acoustic"	56	7	11	0.502	0.692	0.44	0	0.124	-7.508	0.0279	102.019	0.451
"90"	29	"Panic! At The Disco"	"Too Weird To Live, Too Rare To Die!"	"Miss Jackson (feat. LOLO)"	90	74	68	0.00394	0.642	0.873	0	0.175	-5.821	0.0551	82.002	0.662
"91"	28	"Matt Johnson"	"Acoustic Favourites"	"I Feel It Coming - Acoustic Live Lounge"	63	47	52	0.871	0.705	0.362	0	0.146	-10.356	0.0406	93.166	0.781
"92"	31	"Mitchell Rose"	"Candy"	"Candy"	30	14	21	0.145	0.538	0.743	1.71e-06	0.153	-4.254	0.109	175.91	0.814
"93"	30	"Sixpence None The Richer"	"Sixpence None the Richer"	"Kiss Me"	68	70	77	0.023	0.526	0.749	1.76e-06	0.0692	-6.964	0.0283	99.982	0.421
"94"	30	"Heavy Sky"	"Dreamer"	"World"	15	17	7	0.00418	0.52	0.89	0	0.126	-2.792	0.0897	125.052	0.367
"95"	28	"The Killers"	"Land Of The Free"	"Land Of The Free"	81	48	56	0.566	0.368	0.575	0	0.116	-5.1	0.0443	197.639	0.294
"96"	26	"Duffy"	"Rockferry"	"Mercy"	63	63	67	0.266	0.793	0.859	0.000356	0.133	-3.774	0.0332	129.912	0.964
"97"	31	"Billy Ocean"	"Suddenly (Expanded Edition)"	"Suddenly"	66	51	56	0.735	0.496	0.339	0	0.115	-9.512	0.0317	129.486	0.201
"98"	31	"Hozier"	"Wasteland, Baby!"	"Almost (Sweet Music)"	82	72	72	0.0215	0.523	0.687	2.86e-06	0.203	-5.601	0.105	90.036	0.711
"99"	33	"Sting"	"Brand New Day"	"Desert Rose"	73	54	60	0.011	0.586	0.659	0	0.106	-7.92	0.0304	111.989	0.147
"100"	31	"Lewis Capaldi"	"Hold Me While You Wait (Steve Void Remix)"	"Hold Me While You Wait"	88	0	0	0.443	0.688	0.53	0	0.0995	-5.507	0.0333	106.958	0.162
